Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/GameGear/Game Gear Manuals/5 in 1 FunPak.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2F5%20in%201%20FunPak.pdf,3014435,9042b411037dec32a12b1634395ed12e,,,5 in 1 FunPak.pdf
"docs/GameGear/Game Gear Manuals/Addams Family, The.pdf",https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FAddams%20Family%2C%20The.pdf,2432817,47e1b9dfa793d45e787ef8600e5f9b75,,,"Addams Family, The.pdf"
"docs/GameGear/Game Gear Manuals/Adventures of Batman & Robin, The.pdf",https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FAdventures%20of%20Batman%20%26%20Robin%2C%20The.pdf,3196517,351632bc759b2f7f75da4bfbc759489a,,,"Adventures of Batman & Robin, The.pdf"
docs/GameGear/Game Gear Manuals/Aerial Assault.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FAerial%20Assault.pdf,4843353,d6c3cd0be1b813524207d2849de8f0e0,,,Aerial Assault.pdf
docs/GameGear/Game Gear Manuals/Aladdin.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FAladdin.pdf,2107278,fa44eb091c54c5c15129fe54d861922e,,,Aladdin.pdf
docs/GameGear/Game Gear Manuals/Alien 3.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FAlien%203.pdf,4718821,9f00977e3f3d986289ed75dc995917c7,,,Alien 3.pdf
docs/GameGear/Game Gear Manuals/Alien Syndrome.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FAlien%20Syndrome.pdf,3093555,aaa55b0605973cb15a88ee418d4a0486,,,Alien Syndrome.pdf
docs/GameGear/Game Gear Manuals/Andre Agassi Tennis.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FAndre%20Agassi%20Tennis.pdf,2785651,33b995465c46edea398e02bad3948936,,,Andre Agassi Tennis.pdf
docs/GameGear/Game Gear Manuals/Arcade Classics.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FArcade%20Classics.pdf,4187385,c1ef6c4f45b53038c63cd46c33cf4938,,,Arcade Classics.pdf
docs/GameGear/Game Gear Manuals/Arch Rivals.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FArch%20Rivals.pdf,2389139,4beba4895c3e7ec361e59635ed8473aa,,,Arch Rivals.pdf
docs/GameGear/Game Gear Manuals/Arena - Maze of Death.pdf,https://archive.org/download/mister-manuals/1991_Sega%20Game%20Gear.zip/1991_Sega%20Game%20Gear%2FArena%20-%20Maze%20of%20Death.pdf,3647085,4c5c5d80f727ff8d876b9267999b3817,,,Arena - Maze of Death.pdf
